Epithelial sample ID,Study ID,Haematological sample ID,Study ID,Neurological sample ID,Study ID,Sarcoma Sample ID,Study ID,Matched Normal sample ID,Study ID
TCGA-BH-A0GZ-01A,BRCA,TARGET-20-PAWZIG-09A,AML,TCGA-TQ-A7RV-01A,LGG,TCGA-DX-A3U9-01A,TCGA_SARC,GSM625500,GSE25470
TCGA-BH-A1EW-01A,BRCA,TARGET-20-PAUSBP-09A,AML,TCGA-E1-A7YW-01A,LGG,TCGA-3B-A9HO-01A,TCGA_SARC,GSM625502,GSE25470
TCGA-A8-A09T-01A,BRCA,TARGET-20-PAVHFP-09A,AML,TCGA-RY-A840-01A,LGG,TCGA-Z4-A9VC-01A,TCGA_SARC,GSM625505,GSE25470
TCGA-A7-A0CG-01A,BRCA,TARGET-20-PAVWUU-09A,AML,TCGA-FG-6692-01A,LGG,TCGA-DX-A23V-01A,TCGA_SARC,GSM625513,GSE25470
TCGA-BH-A0BS-01A,BRCA,TARGET-20-PAWUKE-09A,AML,TCGA-DB-A75K-01A,LGG,TCGA-DX-AB2X-01A,TCGA_SARC,GSM625516,GSE25470
TCGA-A8-A08B-01A,BRCA,TARGET-20-PARZYF-09A,AML,TCGA-FG-A60L-01A,LGG,TCGA-3B-A9HP-01A,TCGA_SARC,GSM2254846,GSE84971
TCGA-BH-A0HB-01A,BRCA,TARGET-20-PARLSW-09A,AML,TCGA-E1-A7YQ-01A,LGG,TCGA-DX-A6B8-01A,TCGA_SARC,GSM2254847,GSE84971
TCGA-A2-A1FX-01A,BRCA,TARGET-20-PATJNI-09A,AML,TCGA-DU-7302-01A,LGG,TCGA-HB-A5W3-01A,TCGA_SARC,GSM2254848,GSE84971
TCGA-BH-A0B9-01A,BRCA,TARGET-20-PAWWYV-09A,AML,TCGA-TQ-A7RH-01A,LGG,TCGA-3B-A9HX-01A,TCGA_SARC,GSM459971,GSE18470
TCGA-BH-A203-01A,BRCA,TARGET-20-PAWNIK-09A,AML,TCGA-QH-A6CU-01A,LGG,TCGA-X6-A7WD-01A,TCGA_SARC,GSM459972,GSE18470
TCGA-BH-A0E6-01A,BRCA,TARGET-20-PAWEFT-09A,AML,TCGA-DU-A76R-01A,LGG,TCGA-DX-A7EU-01A,TCGA_SARC,GSM459973,GSE18470
TCGA-D8-A1JC-01A,BRCA,TARGET-20-PAEFGR-09A,AML,TCGA-DH-A669-02A,LGG,TCGA-PC-A5DN-01A,TCGA_SARC,GSM459974,GSE18470
TCGA-E2-A158-01A,BRCA,TARGET-20-PAWUEW-09A,AML,TCGA-DH-A7US-01A,LGG,TCGA-3B-A9HY-01A,TCGA_SARC,GSM459975,GSE18470
TCGA-E2-A1B4-01A,BRCA,TARGET-20-PAWPDC-09A,AML,TCGA-E1-A7YY-01A,LGG,TCGA-JV-A75J-01A,TCGA_SARC,GSM4851765,GSE159959
TCGA-D8-A1Y0-01A,BRCA,TARGET-20-PAWVUX-09A,AML,TCGA-DB-A64Q-01A,LGG,TCGA-DX-AATS-01A,TCGA_SARC,GSM4851767,GSE159959
TCGA-AC-A5XS-01A,BRCA,TARGET-20-PAXACP-09A,AML,TCGA-TM-A7C5-01A,LGG,TCGA-X6-A8C3-01A,TCGA_SARC,GSM4851769,GSE159959
TCGA-BH-A6R8-01A,BRCA,TARGET-20-PASXNT-09A,AML,TCGA-S9-A6U6-01A,LGG,TCGA-QQ-A5VD-01A,TCGA_SARC,GSM4851771,GSE159959
TCGA-E2-A1IO-01A,BRCA,TARGET-20-PAVKEM-09A,AML,TCGA-DB-A75P-01A,LGG,TCGA-X6-A7WC-01A,TCGA_SARC,GSM4851773,GSE159959
TCGA-E2-A14T-01A,BRCA,TARGET-20-PAUUTI-09A,AML,TCGA-HT-8111-01A,LGG,TCGA-WK-A8XX-01A,TCGA_SARC,GSM4851775,GSE159959
TCGA-BH-A1FH-01A,BRCA,TARGET-20-PARZGM-09A,AML,TCGA-E1-A7Z4-01A,LGG,TCGA-DX-A3LY-01B,TCGA_SARC,,
TCGA-LL-A440-01A,BRCA,TARGET-20-PARANT-09A,AML,TCGA-DH-A7UU-01A,LGG,TCGA-DX-A8BS-01A,TCGA_SARC,,
TCGA-AN-A0XR-01A,BRCA,TARGET-20-PANNJI-09A,AML,TCGA-S9-A6WN-01A,LGG,TCGA-FX-A76Y-01A,TCGA_SARC,,
TCGA-AO-A12A-01A,BRCA,TARGET-20-PAUWNT-09A,AML,TCGA-E1-5305-01A,LGG,TCGA-DX-A23R-01A,TCGA_SARC,,
TCGA-A2-A0YK-01A,BRCA,TARGET-20-PAUWCF-09A,AML,TCGA-HW-7491-01A,LGG,TCGA-DX-A48U-01A,TCGA_SARC,,
TCGA-A2-A1G0-01A,BRCA,TARGET-20-PAVZIF-09A,AML,TCGA-HT-8110-01A,LGG,TCGA-DX-A8BJ-01A,TCGA_SARC,,
TCGA-E2-A1LI-01A,BRCA,TARGET-20-PAWGCN-09A,AML,TCGA-HT-7479-01A,LGG,TCGA-WK-A8XO-01A,TCGA_SARC,,
TCGA-AN-A0FN-01A,BRCA,TARGET-20-PAWIZG-09A,AML,TCGA-QH-A65V-01A,LGG,TCGA-DX-A3U6-01A,TCGA_SARC,,
TCGA-E9-A1RG-01A,BRCA,TARGET-20-PATMDJ-09A,AML,TCGA-FG-7636-01A,LGG,TCGA-N1-A6IA-01A,TCGA_SARC,,
TCGA-AN-A0XP-01A,BRCA,TARGET-20-PAVBYN-09A,AML,TCGA-TM-A84J-01A,LGG,TCGA-X9-A973-01A,TCGA_SARC,,
TCGA-E2-A15E-01A,BRCA,TARGET-20-PAXCZX-09A,AML,TCGA-DH-A7UR-01A,LGG,TCGA-WK-A8XS-01A,TCGA_SARC,,
TCGA-A8-A093-01A,BRCA,TARGET-20-PANGTF-09A,AML,TCGA-FG-7643-01A,LGG,TCGA-3B-A9HV-01A,TCGA_SARC,,
TCGA-A2-A0D4-01A,BRCA,TARGET-20-PAVMGM-09A,AML,TCGA-DB-5275-01A,LGG,TCGA-HB-A3L4-01A,TCGA_SARC,,
